"Date","Price","Open","High","Low","Vol.","Change %"
"10-02-2025","1,875.25","1,908.69","1,930.33","1,865.39","4.13M","-1.69%"
"07-02-2025","1,907.39","1,832.08","1,914.92","1,819.79","8.04M","2.85%"
"06-02-2025","1,854.58","1,951.33","1,951.33","1,838.74","5.87M","-4.55%"
"05-02-2025","1,943.04","1,871.54","1,950.33","1,855.40","6.22M","4.81%"
"04-02-2025","1,853.85","1,821.42","1,863.27","1,816.07","3.77M","2.77%"
"03-02-2025","1,803.90","1,775.78","1,812.09","1,755.47","3.37M","0.21%"
"01-02-2025","1,800.12","1,773.29","1,821.90","1,749.14","3.76M","1.85%"
"31-01-2025","1,767.44","1,750.47","1,771.67","1,738.16","3.31M","1.28%"
"30-01-2025","1,745.11","1,806.28","1,807.73","1,729.50","4.41M","-2.31%"
"29-01-2025","1,786.36","1,715.49","1,793.57","1,710.85","5.11M","3.99%"
"28-01-2025","1,717.74","1,812.48","1,828.08","1,709.38","8.45M","-5.23%"
"27-01-2025","1,812.48","1,901.70","1,919.79","1,789.11","6.14M","-6.76%"
"24-01-2025","1,943.87","1,968.65","2,015.22","1,936.09","3.73M","-1.25%"
"23-01-2025","1,968.55","1,920.32","1,981.98","1,904.11","4.07M","2.62%"
"22-01-2025","1,918.25","1,932.01","1,937.01","1,865.72","4.65M","-0.54%"
"21-01-2025","1,928.65","1,998.95","2,001.86","1,912.57","4.17M","-3.18%"
"20-01-2025","1,991.90","2,021.95","2,043.07","1,970.30","3.83M","-0.32%"
"17-01-2025","1,998.22","1,990.97","2,006.84","1,956.99","3.60M","0.07%"
"16-01-2025","1,996.85","1,942.00","2,008.92","1,936.69","8.26M","3.61%"
"15-01-2025","1,927.35","1,848.73","1,935.01","1,848.73","10.90M","6.19%"
"14-01-2025","1,815.04","1,757.13","1,831.38","1,732.83","7.23M","5.67%"
"13-01-2025","1,717.69","1,689.01","1,748.77","1,673.22","6.25M","0.68%"
"10-01-2025","1,706.05","1,726.97","1,752.13","1,687.68","3.93M","-1.61%"
"09-01-2025","1,733.90","1,798.90","1,808.43","1,729.17","2.89M","-3.61%"
"08-01-2025","1,798.90","1,796.10","1,811.74","1,751.13","3.80M","0.22%"
"07-01-2025","1,794.87","1,695.51","1,820.42","1,695.51","6.02M","5.88%"
"06-01-2025","1,695.17","1,782.11","1,791.27","1,683.83","3.82M","-4.70%"
"03-01-2025","1,778.70","1,829.93","1,852.53","1,769.82","3.18M","-2.31%"
"02-01-2025","1,820.82","1,814.24","1,832.08","1,785.41","2.48M","0.74%"
"01-01-2025","1,807.43","1,774.79","1,811.63","1,764.13","2.47M","1.89%"
"31-12-2024","1,773.92","1,768.12","1,782.11","1,737.28","2.71M","0.32%"
"30-12-2024","1,768.29","1,748.80","1,788.11","1,739.33","5.87M","0.57%"
"27-12-2024","1,758.30","1,823.25","1,829.28","1,751.18","3.02M","-3.01%"
"26-12-2024","1,812.88","1,815.09","1,824.37","1,784.55","2.57M","-0.13%"
