Price,Close,High,Low,Open,Volume
Ticker,BSE.NS,BSE.NS,BSE.NS,BSE.NS,BSE.NS
Date,,,,,
2021-01-01,66.16511535644531,67.13083976504582,64.82354749328508,64.82354749328508,11247849
2021-01-04,67.56411743164062,68.69688824397687,67.02122045104362,67.86166377430953,8807985
2021-01-05,66.86461639404297,67.62153652397453,66.31128172780855,67.33964675308475,3898737
2021-01-06,66.80719757080078,67.86166407760615,65.89889480918383,66.92204102550275,4498911
2021-01-07,67.0995101928711,68.16964019217144,66.71322191663096,67.33963475631063,7354188
2021-01-08,67.22480010986328,68.17486795156861,66.8332929300079,67.44404929208541,5495409
2021-01-11,66.03462219238281,67.69461912824688,65.40820920113761,67.54845538008082,3085830
2021-01-12,66.40001678466797,67.23002228143233,65.76316619332694,66.19121248945325,2395053
2021-01-13,65.67964935302734,66.81763896474439,65.14719727375032,66.52531148960156,2483775
2021-01-14,65.74750518798828,66.08681666223096,65.14719371048717,65.77360662206496,1590291
2021-01-15,64.95925903320312,66.0868107761213,64.5051113257282,65.78403846905111,1889532
2021-01-18,63.99353790283203,65.03756654960283,63.50806988696152,64.89662167866322,1897173
2021-01-19,64.57298278808594,64.8861928587604,64.06141326911408,64.31197559064972,1136592
2021-01-20,64.3015365600586,64.72958290679028,64.19191196226558,64.72958290679028,1281150
2021-01-21,63.61769104003906,65.35599190450829,63.116552155121006,64.83397760928379,3272472
2021-01-22,62.75115966796875,64.33285944455007,62.32833215764724,63.617704440825634,2490939
2021-01-25,62.2343635559082,63.617703867813745,61.2164433605975,63.16354890201713,1651212
2021-01-27,60.84580612182617,62.286560863656206,60.55347865717925,62.286560863656206,2337678
2021-01-28,62.15605926513672,62.688511311637704,60.15675107986659,60.55347710385091,2095929
2021-01-29,61.40435791015625,62.73026917054612,60.8249218501272,61.86895052878299,1289709
2021-02-01,62.64674758911133,63.267948826387766,61.07549284740883,62.53191131357954,2007180
2021-02-02,63.50285339355469,65.1106472463137,62.77203474741233,63.633353394872806,3034593
2021-02-03,64.69303894042969,64.98536640024604,62.96517561566747,63.50285368885903,4754160
2021-02-04,64.11882781982422,65.87801140228044,63.81083663719261,65.77360566748895,5771925
2021-02-05,63.70121383666992,64.63039909486945,63.38279210788099,64.52077450401347,2455434
2021-02-08,63.49763488769531,64.71914773413734,63.16354939652346,63.789962380753835,2458593
2021-02-09,63.16353988647461,64.93838716103478,62.95473558983588,63.77429621773874,3719907
2021-02-10,62.625877380371094,63.54461784224776,62.27612816530201,63.49763382249777,2033550
2021-02-11,62.91297149658203,63.226174326788104,62.43271520901061,62.53712093158148,2254401
2021-02-12,62.192604064941406,63.88392838789667,62.01512003328911,63.0173836436497,3465729
2021-02-15,63.51328659057617,65.1993846256752,62.432718841610054,62.432718841610054,9979272
2021-02-16,62.27090835571289,64.35373988464933,59.676503730359755,63.88392836938178,5950080
2021-02-17,61.498321533203125,62.95474002822352,61.07549405723177,62.32832709414443,3197232
2021-02-18,61.185115814208984,62.01511416791995,60.99718692456887,62.01511416791995,2705580
2021-02-19,61.38869857788086,62.745930063817404,60.7727234058015,61.179894285333226,3989340
2021-02-22,60.05756759643555,62.00468019286708,59.822661846816175,61.17990064253723,3369510
2021-02-23,59.73392105102539,60.89278960884412,59.61385516993488,60.55347813117292,3688056
2021-02-24,60.558692932128906,62.53712560646667,60.03146334936744,60.03146334936744,2610927
2021-02-25,60.7100830078125,61.81152619179468,60.563919285737505,61.59750304585574,2598417
2021-02-26,60.7100830078125,61.59750304585574,59.75479637715147,59.822655801015415,4748220
2021-03-01,60.25593948364258,61.33650746032172,60.1463148792137,61.07550025245807,2681703
2021-03-02,61.2842903137207,61.910703165467524,60.798822325024126,60.798822325024126,3421143
2021-03-03,61.957698822021484,62.2239248717119,61.16945838004423,61.70191047942506,3025485
2021-03-04,62.55278396606445,63.55504746401494,61.044169866220415,61.59750448188671,4405806
2021-03-05,61.075496673583984,62.761594965201,60.866692353279525,62.23436172658694,3103182
2021-03-08,60.65788269042969,61.61838104548172,60.344672653182116,61.49309989808435,2199123
2021-03-09,61.26341247558594,61.76977025123826,60.86668645607161,61.075490756145584,2072412
2021-03-10,61.23731231689453,61.91070924537318,61.07549202768871,61.59750637311862,1270998
2021-03-12,61.07027816772461,61.77499544104649,60.751849247602486,61.49310566421581,2191581
2021-03-15,59.96360778808594,61.378261164080484,59.61385858414939,61.23209742465558,2446740
2021-03-16,59.629520416259766,60.44385871297434,59.50945810927247,60.4282021522829,3064050
2021-03-17,59.723480224609375,60.18285400256438,59.24844630280383,59.968827257437425,2702394
2021-03-18,59.613853454589844,60.34467208883002,59.11272170093287,60.24027352322661,2120733
2021-03-19,59.15970230102539,60.00014552500886,57.72938889936214,59.613853626154736,2213361
2021-03-22,59.358070373535156,59.71825726331577,58.715993728162765,59.68693697588938,1381779
2021-03-23,59.05008316040039,59.7182576601501,58.830837562581614,59.50945335300189,1641591
2021-03-24,58.39234924316406,59.01876577984113,58.256626795270186,58.84128175158514,2272986
2021-03-25,56.37738037109375,58.68989515985595,55.9075688680013,58.392348830398014,3389157
2021-03-26,57.72417449951172,57.92253752503505,56.58618488021858,56.58618488021858,2783457
2021-03-30,59.107505798339844,60.10976935568216,57.66675103856596,57.83901262322483,3647655
2021-03-31,59.624298095703125,60.151527728202,58.69511639959449,59.30065033726207,2233278
2021-04-01,60.92411422729492,61.383480865580815,59.300652926565256,59.718261568190535,1868265
